,logFC,logCPM,PValue,FDR,,,,,,,,,,,,,,,,,,,
GRMZM2G064962,3.207570968,7.727419786,1.96E-34,4.40E-30,,,,,,,,,,,,,,,,,,,
GRMZM2G102959,3.856351769,5.270836848,4.07E-32,4.56E-28,,,,,,,,,,,,,,,,,,,
GRMZM2G181081,5.044268157,5.95958948,3.12E-30,2.33E-26,,CBL-interacting protein kinase 3,,,3 in Arabi.,,CAMK includes calcium/calmodulin depedent protein kinases,,,,,,in rice.,,,,,,
GRMZM2G064841,2.203281461,6.216718401,4.67E-27,2.61E-23,,,,,,,,,,,,,,,,,,,
GRMZM2G701058,2.703440836,6.276585573,1.52E-26,6.82E-23,,,,,,,,,,,,,,,,,,,
GRMZM2G104325,2.130533376,9.02247772,4.84E-25,1.81E-21,,,,,,,,,,,,,,,,,,,
GRMZM2G110345,3.810688923,6.257397241,1.46E-24,4.68E-21,,,,,,,,,,,,,,,,,,,
GRMZM2G400961,3.743257469,4.139741712,2.55E-24,7.14E-21,,,,,,,,,,,,,,,,,,,
GRMZM2G153103,-2.280974432,6.476083713,2.99E-24,7.43E-21,,Little information.,,,,,,,,,,,,,,,,,
GRMZM2G076526,2.341849367,4.797211743,3.30E-23,7.39E-20,,,,,,,,,,,,,,,,,,,
GRMZM2G123667,2.237910493,5.106029353,5.14E-22,1.05E-18,,,,,,,,,,,,,,,,,,,
GRMZM2G052796,5.394068421,3.975564908,5.81E-22,1.09E-18,,Thioredoxin superfamily protein,,,,,,,,,,,,,,,,,
GRMZM2G472248,2.180269888,6.049366463,1.15E-21,1.98E-18,,,,,,,,,,,,,,,,,,,
GRMZM2G423898,5.761253153,5.564393875,1.45E-21,2.31E-18,,"Serine protease inhibitor, potato inhibitor I-type family protein",,,,,,,,,,,,,,,,,
GRMZM2G155242,2.306538397,8.309507955,2.37E-21,3.54E-18,,myo-inositol-1-phosphate synthase 1,,,,in Arabi.,inositol-3-phosphate synthase,,,in rice.,,,,,,,,,
GRMZM2G110714,3.301937151,4.858936262,1.37E-20,1.89E-17,,,,,,,,,,,,,,,,,,,
AC191575.2_FG001,3.387657903,5.956012386,1.44E-20,1.89E-17,,,,,,,,,,,,,,,,,,,
GRMZM2G102238,2.780503564,4.633207679,2.08E-20,2.59E-17,,,,,,,,,,,,,,,,,,,
GRMZM2G049541,3.67703006,5.219691513,3.71E-20,4.37E-17,,,,,,,,,,,,,,,,,,,
AC234154.1_FG008,1.924768959,4.572192436,1.86E-19,2.08E-16,,,,,,,,,,,,,,,,,,,
GRMZM2G059151,2.81258448,5.423588476,5.38E-19,5.67E-16,,,,,,,,,,,,,,,,,,,
GRMZM5G863596,2.094894464,5.215618679,5.56E-19,5.67E-16,,,,,,,,,,,,,,,,,,,
AC191113.2_FG002,1.870825155,5.967053818,1.04E-18,1.01E-15,,,,,,,,,,,,,,,,,,,
GRMZM2G113967,3.274994902,4.500030792,1.58E-18,1.48E-15,,,,,,,,,,,,,,,,,,,
GRMZM2G100454,3.614398427,5.385585226,2.99E-18,2.68E-15,,,,,,,,,,,,,,,,,,,
