column	count	min	max	sum	mean	Q1	med	Q3	IQR	lW	rW	A_Count	C_Count	G_Count	T_Count	N_Count	Max_count
1	142485227	2	34	4551393181	31.94	31	33	34	3	27	34	16562247	29660322	53749095	42234249	279314	142485227
2	142485227	2	34	4586132384	32.19	31	33	34	3	27	34	49137318	32785345	32002144	28560420	0	142485227
3	142485227	2	34	4586530139	32.19	31	34	34	3	27	34	52866211	33303794	29532763	26782440	19	142485227
4	142485227	2	37	5091422447	35.73	35	37	37	2	32	37	21332380	49062672	38745027	33345148	0	142485227
5	142485227	2	37	5093210041	35.75	35	37	37	2	32	37	48797546	23800139	27652374	42235168	0	142485227
6	142485227	2	37	5098393975	35.78	35	37	37	2	32	37	90672	195647	129740	140669915	1399253	142485227
7	142485227	2	37	5085042721	35.69	35	37	37	2	32	37	21158051	55898795	45195888	20232493	0	142485227
8	142485227	2	37	5091613878	35.73	35	37	37	2	32	37	28114946	27209458	41558786	45602037	0	142485227
9	142485227	2	39	5333735449	37.43	37	39	39	2	34	39	30625128	39578526	44583757	27697816	0	142485227
10	142485227	2	39	5319745434	37.34	37	39	39	2	34	39	38778588	31989566	46407184	25309889	0	142485227
11	142485227	2	39	5297619690	37.18	37	39	39	2	34	39	40501152	28913524	43299001	29771550	0	142485227
12	142485227	2	39	5295652036	37.17	37	39	39	2	34	39	48344328	28055829	35719150	30365920	0	142485227
13	142485227	2	39	5285616987	37.10	37	39	39	2	34	39	24888144	31604862	35178968	50813253	0	142485227
14	142485227	2	41	5457625498	38.30	38	40	41	3	34	41	34737571	38043252	33416138	36288266	0	142485227
15	142485227	2	41	5454930391	38.28	38	40	41	3	34	41	28665906	35760884	33615894	44442543	0	142485227
16	142485227	2	41	5441679587	38.19	38	40	41	3	34	41	44500145	32780063	35447373	29757646	0	142485227
17	142485227	2	41	5446281472	38.22	38	40	41	3	34	41	31129798	39458279	45056426	26840724	0	142485227
18	142485227	2	41	5490911111	38.54	38	40	41	3	34	41	29102186	38286716	40502833	34593492	0	142485227
19	142485227	2	41	5503959464	38.63	38	40	41	3	34	41	37858614	33923362	34688405	36014553	293	142485227
20	142485227	2	41	5507305842	38.65	38	40	41	3	34	41	37063608	34604050	36356489	34461080	0	142485227
21	142485227	2	41	5503443821	38.62	38	40	41	3	34	41	32835140	35561781	40500239	33559288	28779	142485227
22	142485227	2	41	5493595870	38.56	38	40	41	3	34	41	36537367	35423196	37294762	33215940	13962	142485227
23	142485227	2	41	5486491329	38.51	38	40	41	3	34	41	32660022	35692341	40982279	33139059	11526	142485227
24	142485227	2	41	5473031824	38.41	38	40	41	3	34	41	32943456	39448015	37256356	32833717	3683	142485227
25	142485227	2	41	5470203747	38.39	38	40	41	3	34	41	32731395	35266955	41748134	32738716	27	142485227
26	142485227	2	41	5450691535	38.25	38	40	41	3	34	41	32819421	35217121	41058813	33361562	28310	142485227
27	142485227	2	41	5429140280	38.10	38	40	41	3	34	41	32521230	35523803	36644029	37782220	13945	142485227
28	142485227	2	41	5422867302	38.06	38	40	41	3	34	41	32702205	36424494	36729101	36606706	22721	142485227
29	142485227	2	41	5409367142	37.96	38	40	41	3	34	41	33350339	39006448	37070816	33003752	53872	142485227
30	142485227	2	41	5395646738	37.87	38	40	41	3	34	41	36566113	35565531	37353252	32901133	99198	142485227
31	142485227	2	41	5381240330	37.77	37	40	41	4	31	41	32450162	36644426	40778776	32547946	63917	142485227
32	142485227	2	41	5364811031	37.65	37	40	41	4	31	41	33143531	39675713	36968403	32644191	53389	142485227
33	142485227	2	41	5346761906	37.53	37	40	41	4	31	41	36642007	36360609	36962482	32466239	53890	142485227
34	142485227	2	41	5337285617	37.46	37	40	41	4	31	41	32670020	36009474	41420007	32349762	35964	142485227
35	142485227	2	41	5315642012	37.31	37	40	41	4	31	41	33563252	35657297	40843478	32315613	105587	142485227
36	142485227	2	41	5296634308	37.17	36	40	41	5	29	41	37267636	36040836	36718228	32398773	59754	142485227
37	142485227	2	41	5282203334	37.07	36	40	41	5	29	41	36483581	36112537	36841116	33010528	37465	142485227
38	142485227	2	41	5267823306	36.97	36	39	41	5	29	41	32657224	35674595	37882643	36265115	5650	142485227
39	142485227	2	41	5253532905	36.87	36	39	41	5	29	41	32300017	36959310	40785064	32425533	15303	142485227
40	142485227	2	41	5228842998	36.70	36	39	40	4	30	41	32335240	40842870	37053101	32237934	16082	142485227
41	142485227	2	41	5213514232	36.59	35	39	40	5	28	41	32548605	39920636	37650380	32339483	26123	142485227
42	142485227	2	41	5190620679	36.43	35	39	40	5	28	41	33091110	36350478	40660899	32339039	43701	142485227
43	142485227	2	41	5154813734	36.18	35	39	40	5	28	41	36725543	36292286	37309794	32118127	39477	142485227
44	142485227	2	41	5135909033	36.05	35	38	40	5	28	41	33383864	36102223	40672245	32288383	38512	142485227
45	142485227	2	41	5103904270	35.82	35	38	40	5	28	41	36433642	37035309	36521023	32472039	23214	142485227
46	142485227	2	41	5062646400	35.53	35	38	40	5	28	41	32527606	40835283	36802004	32272501	47833	142485227
47	142485227	2	41	5030534415	35.31	35	38	40	5	28	41	32605696	39923475	37578500	32318388	59168	142485227
48	142485227	2	41	5012887377	35.18	35	38	40	5	28	41	33141332	36443754	40376667	32468252	55222	142485227
49	142485227	2	41	4975149938	34.92	34	38	40	6	25	41	35928435	36716195	36819677	32962247	58673	142485227
50	142485227	2	41	4942760988	34.69	34	37	40	6	25	41	32552999	36715211	36818922	36292575	105520	142485227
