"","logFC","logCPM","PValue","FDR"
"GRMZM2G064962",3.20757096821446,7.7274197861893,1.96170834892388e-34,4.39520755576395e-30
"GRMZM2G102959",3.85635176925322,5.2708368477807,4.06855713441089e-32,4.5578011298238e-28
"GRMZM2G181081",5.0442681570198,5.9595894797059,3.11684816557641e-30,2.32776610499132e-26
"GRMZM2G064841",2.20328146104782,6.21671840067142,4.6665054266738e-27,2.61382635211566e-23
"GRMZM2G701058",2.70344083624419,6.27658557313489,1.52113213686602e-26,6.81619310529664e-23
"GRMZM2G104325",2.13053337598784,9.02247772019025,4.84173689473159e-25,1.80798525210769e-21
"GRMZM2G110345",3.81068892342105,6.25739724080471,1.46310892086234e-24,4.68299362456011e-21
"GRMZM2G400961",3.74325746933091,4.13974171219794,2.5482358810413e-24,7.13665311434129e-21
"GRMZM2G153103",-2.28097443176872,6.4760837134368,2.98596670866283e-24,7.43339823417674e-21
"GRMZM2G076526",2.34184936671319,4.79721174301206,3.30012176999496e-23,7.3939228256737e-20
"GRMZM2G123667",2.23791049299644,5.10602935321603,5.14287351815123e-22,1.04750982885617e-18
"GRMZM2G052796",5.39406842088666,3.97556490806499,5.81283851668871e-22,1.08530539138676e-18
"GRMZM2G472248",2.1802698875723,6.04936646258639,1.1474751062489e-21,1.97762921196204e-18
"GRMZM2G423898",5.76125315284165,5.56439387519633,1.44638430548779e-21,2.31473145460385e-18
"GRMZM2G155242",2.30653839709956,8.30950795501601,2.36902448932798e-21,3.53853291222623e-18
"GRMZM2G110714",3.30193715115336,4.85893626246189,1.36694098688779e-20,1.89379468959353e-17
"AC191575.2_FG001",3.38765790278204,5.95601238569442,1.4369341541214e-20,1.89379468959353e-17
"GRMZM2G102238",2.78050356395436,4.63320767897489,2.08185948403286e-20,2.59133676331978e-17
"GRMZM2G049541",3.67703006031822,5.21969151288506,3.70891610885423e-20,4.37359291678311e-17
"AC234154.1_FG008",1.92476895897213,4.57219243562935,1.85596027741768e-19,2.07913950077715e-16
"GRMZM2G059151",2.81258448012812,5.4235884760568,5.38468923447009e-19,5.66624157933102e-16
"GRMZM5G863596",2.09489446352265,5.21561867934761,5.56381677059953e-19,5.66624157933102e-16
"AC191113.2_FG002",1.87082515509165,5.96705381793201,1.03525934134635e-18,1.00847763229848e-15
"GRMZM2G113967",3.27499490219522,4.50003079239048,1.5849075751451e-18,1.47957725921358e-15
"GRMZM2G100454",3.61439842707259,5.38558522559936,2.98839570162528e-18,2.67820022779658e-15
"GRMZM6G706391",4.19070700899608,3.56797111297047,4.8453130707834e-18,4.07851292670877e-15
"GRMZM2G146004",4.0867292035325,4.74745134743944,4.91496759746203e-18,4.07851292670877e-15
"GRMZM2G373607",9.06079543336036,4.46012289916485,7.1141524009828e-18,5.69259230514356e-15
"GRMZM2G105604",3.17747624464047,6.01838748689023,8.01793287386883e-18,6.19454434617348e-15
"GRMZM2G034417",2.46403989035982,7.20870201496575,9.14571543573799e-18,6.71350742565125e-15
"GRMZM2G093101",2.88594618960327,5.54190173064623,9.28894131645565e-18,6.71350742565125e-15
"GRMZM2G043198",2.13709082665923,8.09818839155335,1.19820022299421e-17,8.38927374880792e-15
"GRMZM2G090487",6.79173666610485,2.30846538810116,1.2589249401643e-17,8.54733735890339e-15
"GRMZM2G119300",2.24774259892871,7.92543207099806,2.53860354013263e-17,1.6728650681374e-14
"GRMZM5G829946",3.24022567366525,6.43723919009239,7.04864865042814e-17,4.48405477424505e-14
"GRMZM2G107226",4.04012246945067,3.92430556864739,7.20490836299138e-17,4.48405477424505e-14
